,TID,POST,LABEL
0,250,thank awesom week,1
1,95,end new jona amaz aw yep dat tear kinda realli awesom nice spit take,1
2,554,blog pretti lame stori unreleas bike seat tip awesom,1
3,766,tweet fun cruis vibe insha allah ighalofc stan account bridget bema stan account,1
4,617,find interest vespa count motorcycl maryland florida awesom,1
5,600,post europ depress never wors fuck shake sad depress mind,0
6,94,told male colleagu id postpartum depress said nah woman knew realli emot childbirth omg your mansplain im that differ,0
7,219,ahah ill never forget video anna rose eye awesom,1
8,995,amo summer depress,0
9,340,rememb teen sister start depress issu mom perk type took long recogn im 14 yr older psych degre knew better,0
10,230,im awesom alway suspect,1
11,347,happi birthday dudee,1
12,10,bikaç haftadır yerd sıramı kaptırıyorum ama sinirlenmiyorum ülkey bak self antidepress skilli kazandırdı resmen ahahahha,0
13,463,covid19 pandem led higher level depress anxieti suicid tendenc psycholog trauma among american adult earli month spread,0
14,409,crippl depress road chair,0
15,855,okay mentallyil 2011 said okay past depress simpl human messiah left u start preach prophet messiah young boy tri confirm,0
16,633,awesom want help ive told ppl around work collect drop concert,1
17,926,mad suicid late bf call cop go psych ward hr manag talk way feel defeat mentalhealth mentalil depress,0
18,634,im happi got 05cc liquid gold pump tonight itll keep flow hope help get strong,1
19,480,despit random lack energi realli happi right,1
20,108,ka koi hal hy hi nahi depress sleep koi cheez motiv nahi kar rahi ajkal,0
21,299,sadli feel lot deepli depress soul develop incred way mask depress world fear wrongli judg,0
22,826,mani suffer depress arent sad feel noth persist nag anxieti,0
23,206,happi coz went h0me na haha im excit sunday,1
24,181,watch sound music happi place,1
25,994,good nice haha hope your awesom day,1
26,479,wont share awesom hotel room view fan twitter cant wait concert monday,1
27,771,depress mainli manifest apathi everyth noth give pleasur passion come back thing like includ makeup want start new hobbi that realli neat,0
28,390,happi mother day allim gonna help mine right nowsh deserv ityou guy,1
29,681,look ahead readi make awesom week want get sunday night know total rock go woohoo,1
30,443,said hello hk im soooo happi luv soooo much,1
31,461,add autism known depress anxieti offici diagnos surpris,0
32,902,love awesomest devin delight life how memori lol,1
33,543,depress hand he misinform hyperfix stupid speak subject he uneduc encourag take 5 minut simpl googl search formal apolog past give ammunit peopl,0
34,730,thanki,0
35,76,fave drummer remix fave rapper 3am die happi,1
36,159,realli bad take would tri help money obvious money give better option fix everyth extrem poor long time depress beat,0
37,195,good day depress kick drag hole loneli sad,0
38,944,wolverin awesom,1
39,647,peopl bias day follow anyth said favourit person blindli whatev may truth prevail think person depress abl learn codingmay common wont get,0
40,345,u becom awesom lol,1
41,543,liberta get 0 seat ill happi e9,1
42,77,yeah lookout tweet happi tweet,1
43,953,happi sox today,1
44,558,absolut free join group take part challeng click join pleas answer group question mentalwellb mentalhealthmatt mentalil anxieti depress lockdown,0
45,598,fair hug happi birthday though,1
46,149,today daili cycl think depress came lil earli happi wednesday,1
47,141,want say hi get use twitterit best met awesom peopl take care,1
48,385,everyon follow coz she awesom town,1
49,286,all haben spaß außer mir warum ich sitz lieber zu haus weil da wenig stress bedeutet und angenehm ist und dann bin ich neidisch auf die gemeinsamen erlebniss der anderen dank leben depress kann scheiß sein,0
50,399,eww lol twitter look depress lol happi time eat breakfast ooober hungri ice cream shall b egg lol,1
51,776,organ wine kill also happi birthday old morrissey,1
52,477,ha everybodi say goodnight twitter twitterroo night umm ok that itnight,0
53,567,awesom amaz talk,1
54,512,happi mum day ppl,1
55,478,depress mental ill thought help,0
56,637,still readi die hill captain america die virgin peggi carter didnt give shit past spent lifetim drink wast away depress came back lie aveng,0
57,779,sound awesom hope your fun cant wait see good luck rest rehears,1
58,681,problem grip heighten anxieti lock pit depress isnt necessarili true anxieti depress rob u agenc sometim need help intervent,0
59,867,deadass im bad depress day swear im ignor sincer lose abil understand word,0
60,875,surviv mani episod loss failur disappoint bad relationship bad job poverti depress health problem career setback toxic friendship come realis worri life exacerb fear attach,0
61,981,sure mood import emot well random peopl act like complet fool twitter real life solv problem relat depress anxieti probabl fine much sometim,0
62,125,take back dont trust friend depress break anyth want vibe irl friend hope get better sea thief possibl content channel vibe synthwav,0
63,956,anoth piec ive written today mentalhealth mentalil anxieti suicideprevent depress autism itsokaytonotbeokayep13 endthestigma,0
64,865,make sure happi alon share life someon els old,1
65,192,happi brother sisterinlaw right keep finger toe cross,1
66,62,happi birthday,1
67,244,think read real blog wwwlisarcasticblogspotcom awesom like lol,1
68,251,someon struggl depress suicid 2 attempt say logic soft tissu paper let what said podcast caus much grief nigga didnt know next rent check come 2 kid wife provid,0
69,871,happi mother day guatemala would firecrack 4am honor,1
70,43,sure messag facebook ask peopl depress talk someon etc sad stori seem,0
71,739,mikrokosmo give post concert depress havent even concert,0
72,275,depress start counsel next monthal want happi,1
73,666,seem forget job disappear watch great recess gdp low depress tri fals distract resign famili 150000 die dt neglig vote,0
74,957,21 move back parent home depress sad fill hard year go,0
75,829,omg thank nikki vote your awesom,1
76,293,express frustrat depress anger lockdown situat especi america also adher know right thing two mindset coexist,0
77,460,depress seriou bitch weigh u differ know almost gotten least time take time,0
78,9,simpl girloatm make realli happi morningand bloom wisteria,1
