TID,TWEET,LABEL
189,worri mind im happi u meet,1
480,stay till selen friend bday awesom,1
230,im awesom suspect,1
37,long nap make happi,1
394,luck depress real stuck insid head pay attent outer help tremend emoji face savour delici foodemoji umbrellahav luck stay busi stay happyemoji,1
376,hey homi happi birthday massiv,1
434,danc cat depress isol covid pandem struggl stori cat depressioncatlov covid isol,0
152,parent r happi rest famili wonder memi folk r cool left,1
760,girl work pull bibl breakroom convers heart smile awesom,1
647,bias day follow favourit person blindli truth prevail person depress learn codingmay common,0
577,ini foto pertama win yg gue simpen smile soooo freak pure beat smile world he angel god send earth help depress middl pandem situat love stay safe awin ku,0
521,happi sunday tweepl live dream make day count continu spread love joy,1
558,acredito meu verão vai ser isto wonder depress,0
531,watch dad die doubl pneumonia lung sclerosi definit love slip away she horribl person youd she written spoken length bee battl depress shed attempt human vile,0
589,technic speak antidepress tend make diagnos depress sadden month take make depress wors,0
904,heeyyy vote happi support kissess cute rain,1
494,degre child famili developmentni love work children decor laugh fun love spend qualiti time famili u,1
168,claim met happi content work depress hate decis happi aggress argument,1
123,truth hurt,0
623,found today fli hk againwee happi,1
540,gonna happi tonight cost kurt hinder ï ½,1
239,hate happen famili god etern protect readi road depress,0
422,happi birthday chaela love yo,1
696,hate adult listen friend depress,0
499,awesom love draw hope youll hope youll holland,1
64,amaz show salt lake love super special awesom word describ hard work,1
40,sad wors happi depress dehuman tire emot experi encount life,1
182,im happi wait till august roll game sad time groupi,0
21,hard motiv start work lazi happi friday weekend,1
889,happi mother day mom mom mom mom woot woot mom rule,1
804,sad atalanta forward josip iličić found wife cheat surpris slovenia he depress consid quit footbal iličić play vs psg biggest game life,0
471,confound gender dysphoria insecuritiesdistress women face today suggest medic definit symptom unknown herit sad year cl,0
26,happi birthday wonder mother,1
542,tryna listen happi song instead sad song undo depress oof,0
338,love amaz fic especi stuff shouldv happen season,0
115,haha toower awesom,1
446,feel stress depress anxieti relat xxx,0
586,psychiatri depress manifest way obviou exgf close im repeat ill stop,0
141,hope u alotta fun green day theyr awesom band,1
871,happi mother day guatemala firecrack honor,1
992,relat funni content follow uufef,1
19,eclips awesom moon,1
900,usual depress,0
195,day depress kick drag hole loneli sad,0
415,bon vérité sai exprim sentiment ment propo refusé vive anxiété bleah paraît ça donné depress habit cett foisci,0
969,brew coffe boot stream depress crippl today advantag,0
352,understand life reflect face accid quickli return conscious back fall depress hole life chang love famili,0
818,world fuck im world kill hope dream ambit enjoy wanna anymor mentalhealth depress suicideprevent,0
893,comfort deal anxieti depress mental ill love stori time anxiou sad,0
197,legit gave postgam depress bit difficult choos rdr witcher love equal definit top,0
737,god your rightemoji cri face im sad depress nap,0
41,week break draw depress kick hard tomorrow back,0
847,happi birthday great day,1
38,today yesterday clean plan tomorrow nice doubli nice person deal depress,0
209,yepand suicid depress countrycyb bulli joke tear anoth ego wht abwt life teach neg lesson xem,0
834,shizu healer heal sad depress voic,0
889,sadli deep fare difficult describ paralyz depress struggl stand right,0
423,aloooootttt ppl suffer depress iy,0
849,talk moreanxieti noonecar depress sad depress bpd,0
766,kid notic depress,0
613,yayyyi im happi,1
251,struggl depress suicid attempt logic soft tissu paper let what podcast grief nigga rent check come kid wife provid,0
151,cassad hope awesom time tour,0
502,smile forc indic mind your happi turn brain releas endorphin bodi feelgood chemic combat depress anxieti,1
787,happi nation day norway hipp hipp hurra,1
998,depress night cri sleep anymor happi,1
739,mikrokosmo give post concert depress concert,0
503,happi mother day mother life,1
509,today sad day good iou,0
39,deep breathpyuuhhhwhatta shock newsbut im happi,1
391,singl neend padai mujhs depress dosti karli dhoka sabk jeey kese jeey,0
870,imagin develop multipl anxieti depress breath suppos,0
106,happi mother day,1
390,watch cheerlead competit espn happi day,1
279,st happi xx,1
722,depress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress ist saddepress,0
841,theyr torn awesom drag drag dadblast rain crampin style,1
342,im prepar ff list name write pretti sad,0
168,your awesom hayley paramor rock love colombia,1
964,depress sad,0
108,hal hy depress sleep cheez motiv ajkal,0
946,bt help depress feel sad everyday bring mood stumbl start smile immedi love,0
